Year,Week_Number,Label,mean_return,volatility
2018,0,green,0.26,0.87
2018,1,green,1.0,1.5
2018,2,green,0.24,0.75
2018,3,green,0.023,0.53
2018,4,red,-0.78,0.76
2018,5,red,-0.71,2.0
2018,6,green,0.94,1.2
2018,7,red,-0.71,1.8
2018,8,red,-0.69,0.81
2018,9,green,0.029,0.54
2018,10,green,0.019,0.81
2018,11,red,-0.94,1.1
2018,12,green,0.2,1.4
2018,13,red,-0.21,0.69
2018,14,green,0.82,0.61
2018,15,green,0.2,0.99
2018,16,green,0.25,0.39
2018,17,red,-0.5,0.7
2018,18,green,0.49,0.93
2018,19,red,0.04,0.25
2018,20,red,-0.25,1.0
2018,21,red,-0.18,1.4
2018,22,green,0.25,0.76
2018,23,red,-0.35,0.56
2018,24,red,-0.23,1.1
2018,25,red,-0.33,1.4
2018,26,green,0.0033,0.93
2018,27,green,0.13,1.4
2018,28,red,-0.023,0.75
2018,29,green,0.35,0.85
2018,30,red,-0.42,1.4
2018,31,red,-0.34,1.1
2018,32,red,-0.42,0.89
2018,33,red,-0.18,0.78
2018,34,red,-0.22,1.4
2018,35,red,-0.68,0.62
2018,36,green,0.34,0.73
2018,37,green,0.63,1.1
2018,38,red,-0.41,0.95
2018,39,red,-0.074,0.97
2018,40,red,-0.62,0.95
2018,41,red,-0.73,1.5
2018,42,red,-0.9,1.6
2018,43,green,1.7,1.3
2018,44,red,-0.35,1.1
2018,45,green,0.49,1.3
2018,46,red,-0.29,1.7
2018,47,green,0.39,1.9
2018,48,red,-0.98,2.5
2018,49,green,0.034,1.6
2018,50,red,-0.16,1.1
2018,51,green,0.32,1.5
2018,52,green,0.097,0.0
2019,0,green,0.42,2.2
2019,1,red,-0.089,0.78
2019,2,green,0.24,0.85
2019,3,red,-0.031,1.1
2019,4,red,-0.068,1.0
2019,5,green,0.021,0.7
2019,6,green,0.5,0.53
2019,7,red,-0.61,1.8
2019,8,red,-0.047,0.69
2019,9,green,0.13,0.4
2019,10,green,0.26,0.25
2019,11,red,-0.48,0.68
2019,12,green,0.079,0.27
2019,13,green,0.93,1.3
2019,14,green,0.26,0.47
2019,15,green,0.12,0.69
2019,16,red,-0.082,0.52
2019,17,green,0.75,1.3
2019,18,red,-0.83,0.92
2019,19,red,-0.35,1.2
2019,20,green,0.19,0.42
2019,21,red,-0.74,0.55
2019,22,green,0.34,0.41
2019,23,red,-0.34,0.7
2019,24,green,0.17,1.0
2019,25,green,0.31,0.44
2019,26,green,0.2,0.25
2019,27,red,-0.21,0.33
2019,28,red,-0.14,0.47
2019,29,red,-0.14,0.77
2019,30,red,-0.84,0.28
2019,31,red,-0.8,1.7
2019,32,red,-0.6,1.9
2019,33,red,-0.27,1.1
2019,34,green,0.15,0.59
2019,35,green,0.69,1.1
2019,36,green,1.2,0.54
2019,37,red,-0.5,0.8
2019,38,red,-0.01,0.33
2019,39,red,-0.49,1.0
2019,40,green,0.81,1.8
2019,41,green,0.28,0.49
2019,42,green,0.41,0.39
2019,43,red,-0.73,1.7
2019,44,green,0.091,0.66
2019,45,red,-0.65,1.1
2019,46,green,0.1,0.84
2019,47,green,0.05,0.85
2019,48,red,-0.21,1.1
2019,49,green,0.84,1.0
2019,50,green,0.24,0.63
2019,51,green,0.071,0.41
2019,52,green,0.12,0.24
